13,114,AFIN,"American Finance Trust, Inc.",Real Estate,REIT - Diversified,USA,749.22M,-
14,115,AFL,Aflac Incorporated,Financial,Insurance - Life,USA,25.19B,9.05
15,116,AFMD,Affimed N.V.,Healthcare,Biotechnology,Germany,324.05M,-
16,117,AFT,Apollo Senior Floating Rate Fund Inc.,Financial,Asset Management,USA,199.96M,-
17,118,AFYA,Afya Limited,Consumer Defensive,Education & Training Services,Brazil,2.46B,37.25
18,119,AG,First Majestic Silver Corp.,Basic Materials,Silver,Canada,2.50B,-
19,120,AGCO,AGCO Corporation,Industrials,Farm & Heavy Construction Machinery,USA,5.60B,177.80
0,121,AGE,"AgeX Therapeutics, Inc.",Healthcare,Biotechnology,USA,32.56M,-
1,122,AGEN,Agenus Inc.,Healthcare,Biotechnology,USA,973.90M,-
2,123,AGFS,"AgroFresh Solutions, Inc.",Consumer Defensive,Farm Products,USA,125.90M,-
3,124,AGI,Alamos Gold Inc.,Basic Materials,Gold,Canada,4.00B,72.09
4,125,AGIO,"Agios Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,2.68B,-
5,126,AGLE,"Aeglea BioTherapeutics, Inc.",Healthcare,Biotechnology,USA,299.67M,-
6,127,AGM,Federal Agricultural Mortgage Corporation,Financial,Credit Services,USA,719.62M,8.71
7,128,AGMH,AGM Group Holdings Inc.,Technology,Software - Application,Hong Kong,329.74M,-
8,129,AGNC,AGNC Investment Corp.,Real Estate,REIT - Mortgage,USA,7.89B,-
9,130,AGO,Assured Guaranty Ltd.,Financial,Insurance - Specialty,Bermuda,1.65B,5.60
10,131,AGR,"Avangrid, Inc.",Utilities,Utilities - Regulated Electric,USA,14.79B,21.25
11,132,AGRO,Adecoagro S.A.,Consumer Defensive,Farm Products,Luxembourg,606.82M,-
12,133,AGRX,"Agile Therapeutics, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,309.04M,-
13,134,AGS,"PlayAGS, Inc.",Consumer Cyclical,Gambling,USA,147.36M,-
14,135,AGTC,Applied Genetic Technologies Corporation,Healthcare,Biotechnology,USA,128.77M,-
15,136,AGX,"Argan, Inc.",Industrials,Engineering & Construction,USA,685.16M,-
16,137,AGYS,"Agilysys, Inc.",Technology,Software - Application,USA,597.51M,-
17,138,AHC,A.H. Belo Corporation,Communication Services,Publishing,USA,29.32M,-
18,139,AHCO,AdaptHealth Corp.,Healthcare,Medical Devices,USA,1.91B,-
19,140,AHH,"Armada Hoffler Properties, Inc.",Real Estate,REIT - Diversified,USA,782.58M,20.74
0,141,AHPI,"Allied Healthcare Products, Inc.",Healthcare,Medical Devices,USA,23.27M,-
1,142,AHT,"Ashford Hospitality Trust, Inc.",Real Estate,REIT - Hotel & Motel,USA,23.41M,-
2,143,AI,Arlington Asset Investment Corp.,Real Estate,REIT - Mortgage,USA,99.73M,-
3,144,AIF,Apollo Tactical Income Fund Inc.,Financial,Asset Management,USA,184.42M,-
4,145,AIG,"American International Group, Inc.",Financial,Insurance - Diversified,USA,23.93B,-
5,146,AIH,Aesthetic Medical International Holdings Group Limited,Healthcare,Medical Care Facilities,China,103.29M,-
6,147,AIHS,Senmiao Technology Limited,Financial,Credit Services,China,22.46M,-
7,148,AIKI,AIkido Pharma Inc.,Healthcare,Biotechnology,USA,22.30M,-
8,149,AIM,AIM ImmunoTech Inc.,Healthcare,Biotechnology,USA,75.88M,-
9,150,AIMC,Altra Industrial Motion Corp.,Industrials,Specialty Industrial Machinery,USA,2.54B,-
10,151,AIMT,"Aimmune Therapeutics, Inc.",Healthcare,Biotechnology,USA,2.24B,-
11,152,AIN,Albany International Corp.,Consumer Cyclical,Textile Manufacturing,USA,1.67B,14.77
12,153,AINC,Ashford Inc.,Financial,Asset Management,USA,16.13M,-
13,154,AINV,Apollo Investment Corporation,Financial,Asset Management,USA,606.73M,-
14,155,AIR,AAR Corp.,Industrials,Aerospace & Defense,USA,632.50M,25.63
15,156,AIRG,"Airgain, Inc.",Technology,Communication Equipment,USA,125.34M,-
16,157,AIRI,Air Industries Group,Industrials,Aerospace & Defense,USA,34.30M,-
17,158,AIRT,"Air T, Inc.",Industrials,Integrated Freight & Logistics,USA,32.00M,-
18,159,AIT,"Applied Industrial Technologies, Inc.",Industrials,Industrial Distribution,USA,2.24B,103.76
19,160,AIV,Apartment Investment and Management Company,Real Estate,REIT - Residential,USA,5.24B,29.20
0,161,AIZ,"Assurant, Inc.",Financial,Insurance - Specialty,USA,7.02B,24.28
1,162,AJG,Arthur J. Gallagher & Co.,Financial,Insurance Brokers,USA,19.69B,27.88
2,163,AJRD,"Aerojet Rocketdyne Holdings, Inc.",Industrials,Aerospace & Defense,USA,3.16B,25.93
3,164,AJX,Great Ajax Corp.,Real Estate,REIT - Mortgage,USA,205.54M,11.89
4,165,AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,USA,18.09B,32.22
